trial, time, gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
1 , 10.477 , true , 10518.592773 -228.245209 -63.815144,13018.592773 -228.245209 -63.815144,11768.592773 1936.803955 -63.815144,9268.592773 1936.803711 -63.815144,8018.592773 -228.245438 -63.815144,9268.592773 -2393.323486 -63.815144,11768.592773 -2393.323486 -63.815144,3072.740723 9171.828125 16.053106,5572.740723 9171.828125 16.053106,4322.740723 11336.891602 16.053106,1822.740601 11336.891602 16.053106,572.754272 9171.828125 16.053106,1822.740967 7006.609375 16.053106,4322.740234 7006.609375 16.053106,-6872.494141 2434.828613 113.770157,-4372.494141 2434.828613 113.770157,-5622.494141 4599.892578 113.770157,-8122.494141 4599.89209 113.770157,-9372.338867 2434.828369 113.770157,-8122.494141 269.784363 113.770157,-5622.494141 269.784363 113.770157,-121.174477 -9863.191406 151.664917,2378.796387 -9863.191406 151.664917,1128.835083 -7698.12793 151.664917,-1371.164917 -7698.12793 151.664917,-2621.203613 -9863.191406 151.664917,-1371.164551 -12028.254883 151.664917,1128.834961 -12028.254883 151.664917,
1 , 10.977 , true , 10525.43457 -242.154434 -63.815144,13025.43457 -242.154434 -63.815144,11775.43457 1922.893311 -63.815144,9275.43457 1922.893066 -63.815144,8025.43457 -242.154663 -63.815144,9275.43457 -2407.234131 -63.815144,11775.43457 -2407.234131 -63.815144,3087.635254 9176.126953 16.053106,5587.635254 9176.126953 16.053106,4337.635254 11341.19043 16.053106,1837.635132 11341.19043 16.053106,587.650696 9176.126953 16.053106,1837.635498 7010.893066 16.053106,4337.634766 7010.893066 16.053106,-6878.745605 2449.011719 113.770157,-4378.745605 2449.011719 113.770157,-5628.745605 4614.075684 113.770157,-8128.745605 4614.075195 113.770157,-9378.575195 2449.011475 113.770157,-8128.745605 283.96936 113.770157,-5628.745605 283.96936 113.770157,-134.817383 -9855.834961 151.664917,2365.150635 -9855.834961 151.664917,1115.193115 -7690.771484 151.664917,-1384.806885 -7690.771484 151.664917,-2634.849365 -9855.834961 151.664917,-1384.806519 -12020.898438 151.664917,1115.192993 -12020.898438 151.664917,
1 , 11.477 , true , 10532.276367 -256.06366 -63.815144,13032.276367 -256.06366 -63.815144,11782.276367 1908.982666 -63.815144,9282.276367 1908.982422 -63.815144,8032.276367 -256.063904 -63.815144,9282.276367 -2421.144775 -63.815144,11782.276367 -2421.144775 -63.815144,3102.529785 9180.425781 16.053106,5602.529785 9180.425781 16.053106,4352.529785 11345.489258 16.053106,1852.529663 11345.489258 16.053106,602.547119 9180.425781 16.053106,1852.530029 7015.176758 16.053106,4352.529297 7015.176758 16.053106,-6884.99707 2463.194824 113.770157,-4384.99707 2463.194824 113.770157,-5634.99707 4628.258789 113.770157,-8134.99707 4628.258301 113.770157,-9384.811523 2463.19458 113.770157,-8134.99707 298.154358 113.770157,-5634.99707 298.154358 113.770157,-148.460297 -9848.478516 151.664917,2351.504883 -9848.478516 151.664917,1101.551147 -7683.415039 151.664917,-1398.448853 -7683.415039 151.664917,-2648.495117 -9848.478516 151.664917,-1398.448486 -12013.541992 151.664917,1101.551025 -12013.541992 151.664917,
1 , 11.977 , true , 10539.118164 -269.973358 -63.815144,13039.118164 -269.973358 -63.815144,11789.118164 1895.072021 -63.815144,9289.118164 1895.071777 -63.815144,8039.118164 -269.973602 -63.815144,9289.118164 -2435.05542 -63.815144,11789.118164 -2435.05542 -63.815144,3117.424316 9184.724609 16.053106,5617.424316 9184.724609 16.053106,4367.424316 11349.788086 16.053106,1867.424194 11349.788086 16.053106,617.443542 9184.724609 16.053106,1867.424561 7019.460449 16.053106,4367.423828 7019.460449 16.053106,-6891.248535 2477.37793 113.770157,-4391.248535 2477.37793 113.770157,-5641.248535 4642.441895 113.770157,-8141.248535 4642.441406 113.770157,-9391.047852 2477.377686 113.770157,-8141.248535 312.339355 113.770157,-5641.248535 312.339355 113.770157,-162.10321 -9841.12207 151.664917,2337.859131 -9841.12207 151.664917,1087.90918 -7676.058594 151.664917,-1412.09082 -7676.058594 151.664917,-2662.140869 -9841.12207 151.664917,-1412.090454 -12006.185547 151.664917,1087.909058 -12006.185547 151.664917,
1 , 12.477 , true , 10545.959961 -283.883057 -63.815144,13045.959961 -283.883057 -63.815144,11795.959961 1881.161377 -63.815144,9295.959961 1881.161133 -63.815144,8045.959961 -283.883301 -63.815144,9295.959961 -2448.966064 -63.815144,11795.959961 -2448.966064 -63.815144,3132.318848 9189.023438 16.053106,5632.318848 9189.023438 16.053106,4382.318848 11354.086914 16.053106,1882.318726 11354.086914 16.053106,632.339966 9189.023438 16.053106,1882.319092 7023.744141 16.053106,4382.318359 7023.744141 16.053106,-6897.5 2491.561035 113.770157,-4397.5 2491.561035 113.770157,-5647.5 4656.625 113.770157,-8147.5 4656.624512 113.770157,-9397.28418 2491.560791 113.770157,-8147.5 326.524353 113.770157,-5647.5 326.524353 113.770157,-175.746124 -9833.765625 151.664917,2324.213379 -9833.765625 151.664917,1074.267212 -7668.702148 151.664917,-1425.732788 -7668.702148 151.664917,-2675.786621 -9833.765625 151.664917,-1425.732422 -11998.829102 151.664917,1074.26709 -11998.829102 151.664917,
1 , 12.977 , true , 10552.801758 -297.792755 -63.815144,13052.801758 -297.792755 -63.815144,11802.801758 1867.250732 -63.815144,9302.801758 1867.250488 -63.815144,8052.801758 -297.792999 -63.815144,9302.801758 -2462.876709 -63.815144,11802.801758 -2462.876709 -63.815144,3147.213379 9193.322266 16.053106,5647.213379 9193.322266 16.053106,4397.213379 11358.385742 16.053106,1897.213257 11358.385742 16.053106,647.236389 9193.322266 16.053106,1897.213623 7028.027832 16.053106,4397.212891 7028.027832 16.053106,-6903.751465 2505.744141 113.770157,-4403.751465 2505.744141 113.770157,-5653.751465 4670.808105 113.770157,-8153.751465 4670.807617 113.770157,-9403.520508 2505.743896 113.770157,-8153.751465 340.709351 113.770157,-5653.751465 340.709351 113.770157,-189.389038 -9826.40918 151.664917,2310.567627 -9826.40918 151.664917,1060.625244 -7661.345703 151.664917,-1439.374756 -7661.345703 151.664917,-2689.432373 -9826.40918 151.664917,-1439.37439 -11991.472656 151.664917,1060.625122 -11991.472656 151.664917,
1 , 13.477 , true , 10559.643555 -311.702454 -63.815144,13059.643555 -311.702454 -63.815144,11809.643555 1853.340088 -63.815144,9309.643555 1853.339844 -63.815144,8059.643555 -311.702698 -63.815144,9309.643555 -2476.787354 -63.815144,11809.643555 -2476.787354 -63.815144,3162.10791 9197.621094 16.053106,5662.10791 9197.621094 16.053106,4412.10791 11362.68457 16.053106,1912.107788 11362.68457 16.053106,662.132812 9197.621094 16.053106,1912.108154 7032.311523 16.053106,4412.107422 7032.311523 16.053106,-6910.00293 2519.927246 113.770157,-4410.00293 2519.927246 113.770157,-5660.00293 4684.991211 113.770157,-8160.00293 4684.990723 113.770157,-9409.756836 2519.927002 113.770157,-8160.00293 354.894348 113.770157,-5660.00293 354.894348 113.770157,-203.031952 -9819.052734 151.664917,2296.921875 -9819.052734 151.664917,1046.983276 -7653.989258 151.664917,-1453.016724 -7653.989258 151.664917,-2703.078125 -9819.052734 151.664917,-1453.016357 -11984.116211 151.664917,1046.983154 -11984.116211 151.664917,
1 , 13.977 , true , 10566.485352 -325.612152 -63.815144,13066.485352 -325.612152 -63.815144,11816.485352 1839.429443 -63.815144,9316.485352 1839.429199 -63.815144,8066.485352 -325.612396 -63.815144,9316.485352 -2490.697998 -63.815144,11816.485352 -2490.697998 -63.815144,3177.002441 9201.919922 16.053106,5677.002441 9201.919922 16.053106,4427.002441 11366.983398 16.053106,1927.002319 11366.983398 16.053106,677.029236 9201.919922 16.053106,1927.002686 7036.595215 16.053106,4427.001953 7036.595215 16.053106,-6916.254395 2534.110352 113.770157,-4416.254395 2534.110352 113.770157,-5666.254395 4699.174316 113.770157,-8166.254395 4699.173828 113.770157,-9415.993164 2534.110107 113.770157,-8166.254395 369.079346 113.770157,-5666.254395 369.079346 113.770157,-216.674866 -9811.696289 151.664917,2283.276123 -9811.696289 151.664917,1033.341309 -7646.632812 151.664917,-1466.658691 -7646.632812 151.664917,-2716.723877 -9811.696289 151.664917,-1466.658325 -11976.759766 151.664917,1033.341187 -11976.759766 151.664917,
1 , 14.478 , true , 10573.327148 -339.521851 -63.815144,13073.327148 -339.521851 -63.815144,11823.327148 1825.518799 -63.815144,9323.327148 1825.518555 -63.815144,8073.327148 -339.522095 -63.815144,9323.327148 -2504.608643 -63.815144,11823.327148 -2504.608643 -63.815144,3191.896973 9206.21875 16.053106,5691.896973 9206.21875 16.053106,4441.896973 11371.282227 16.053106,1941.896851 11371.282227 16.053106,691.925659 9206.21875 16.053106,1941.897217 7040.878906 16.053106,4441.896484 7040.878906 16.053106,-6922.505859 2548.293457 113.770157,-4422.505859 2548.293457 113.770157,-5672.505859 4713.357422 113.770157,-8172.505859 4713.356934 113.770157,-9422.229492 2548.293213 113.770157,-8172.505859 383.264343 113.770157,-5672.505859 383.264343 113.770157,-230.31778 -9804.339844 151.664917,2269.630371 -9804.339844 151.664917,1019.699341 -7639.276367 151.664917,-1480.300659 -7639.276367 151.664917,-2730.369629 -9804.339844 151.664917,-1480.300293 -11969.40332 151.664917,1019.699219 -11969.40332 151.664917,
1 , 14.978 , true , 10580.168945 -353.431549 -63.815144,13080.168945 -353.431549 -63.815144,11830.168945 1811.608154 -63.815144,9330.168945 1811.60791 -63.815144,8080.168945 -353.431793 -63.815144,9330.168945 -2518.519287 -63.815144,11830.168945 -2518.519287 -63.815144,3206.791504 9210.517578 16.053106,5706.791504 9210.517578 16.053106,4456.791504 11375.581055 16.053106,1956.791382 11375.581055 16.053106,706.822083 9210.517578 16.053106,1956.791748 7045.162598 16.053106,4456.791016 7045.162598 16.053106,-6928.757324 2562.476562 113.770157,-4428.757324 2562.476562 113.770157,-5678.757324 4727.540527 113.770157,-8178.757324 4727.540039 113.770157,-9428.46582 2562.476318 113.770157,-8178.757324 397.449341 113.770157,-5678.757324 397.449341 113.770157,-243.960693 -9796.983398 151.664917,2255.984619 -9796.983398 151.664917,1006.057373 -7631.919922 151.664917,-1493.942627 -7631.919922 151.664917,-2744.015381 -9796.983398 151.664917,-1493.942261 -11962.046875 151.664917,1006.057251 -11962.046875 151.664917,
