time,trial,gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
167.302002 , 2 , true , -650.211609 -1273.511963 37.450512,2438.37207 -5696.136719 -69.969734,14539.043945 -14121.604492 88.51783,9030.291016 8939.726562 -25.192757,-3347.664062 6819.484375 -0.36969,149.664047 1410.816772 110.578651,-7620.395508 9536.554688 -38.643528,6259.102539 4178.933594 104.81884,-9182.633789 2602.805908 -114.773521,9791.93457 408.43219 41.992741,-2607.055664 -3960.965088 77.245659,8413.625977 7024.888672 -7.437782,3242.264648 6843.357422 37.070889,-11719.458984 -329.805908 4.744313,-10483.186523 8989.78125 -73.728729,-10105.681641 14809.087891 -22.244431,9928.336914 2593.370117 139.218063,-9487.297852 4658.253906 -37.254807,145.24353 -10564.291016 95.233421,-14430.553711 13455.408203 157.13327,8128.549805 -1641.15918 17.037949,1067.352417 6197.957031 -124.388596,-990.08728 -253.499557 88.408043,975.114868 6745.636719 60.953358,-6254.305664 -420.441528 150.075851,5712.81543 2939.59375 42.251621,4755.027832 1723.139404 47.691063,-3807.245117 -6875.347656 -97.493805,
167.802994 , 2 , true , -625.601196 -1254.662964 37.450512,2448.990479 -5725.259766 -69.969734,14539.831055 -14090.604492 88.51783,9058.354492 8926.527344 -25.192757,-3316.664062 6819.287598 -0.36969,138.767975 1439.837646 110.578651,-7596.176758 9517.209961 -38.643528,6251.170898 4208.904297 104.81884,-9195.621094 2574.65918 -114.773521,9814.972656 429.172333 41.992741,-2600.213867 -3930.729492 77.245659,8444.353516 7020.877441 -7.437782,3266.998047 6862.05127 37.070889,-11688.580078 -327.242126 4.744313,-10474.498047 8960.022461 -73.728729,-10076.982422 14797.341797 -22.244431,9904.875 2613.615479 139.218063,-9462.625 4639.484375 -37.254807,142.415802 -10533.412109 95.233421,-14459.131836 13467.457031 157.13327,8158.1875 -1632.077148 17.037949,1049.843018 6172.375977 -124.388596,-989.226379 -222.511383 88.408043,990.166443 6772.731445 60.953358,-6281.17334 -404.977478 150.075851,5735.762695 2960.437012 42.251621,4775.901367 1746.063965 47.691063,-3811.286621 -6906.090332 -97.493805,
168.302994 , 2 , true , -600.990784 -1235.813965 37.450512,2459.608887 -5754.382812 -69.969734,14540.618164 -14059.604492 88.51783,9086.417969 8913.328125 -25.192757,-3285.664062 6819.09082 -0.36969,127.871895 1468.858521 110.578651,-7571.958008 9497.865234 -38.643528,6243.239258 4238.875 104.81884,-9208.608398 2546.512451 -114.773521,9838.010742 449.912476 41.992741,-2593.37207 -3900.493896 77.245659,8475.081055 7016.866211 -7.437782,3291.731445 6880.745117 37.070889,-11657.701172 -324.678345 4.744313,-10465.80957 8930.263672 -73.728729,-10048.283203 14785.595703 -22.244431,9881.413086 2633.86084 139.218063,-9437.952148 4620.714844 -37.254807,139.588074 -10502.533203 95.233421,-14487.709961 13479.505859 157.13327,8187.825195 -1622.995117 17.037949,1032.333618 6146.794922 -124.388596,-988.365479 -191.523209 88.408043,1005.218018 6799.826172 60.953358,-6308.041016 -389.513428 150.075851,5758.709961 2981.280273 42.251621,4796.774902 1768.988525 47.691063,-3815.328125 -6936.833008 -97.493805,
168.802994 , 2 , true , -576.380371 -1216.964966 37.450512,2470.227295 -5783.505859 -69.969734,14541.405273 -14028.604492 88.51783,9114.481445 8900.128906 -25.192757,-3254.664062 6818.894043 -0.36969,116.975586 1497.879395 110.578651,-7547.739258 9478.520508 -38.643528,6235.307617 4268.845703 104.81884,-9221.595703 2518.365723 -114.773521,9861.048828 470.652618 41.992741,-2586.530273 -3870.258301 77.245659,8505.808594 7012.85498 -7.437782,3316.464844 6899.438965 37.070889,-11626.822266 -322.114563 4.744313,-10457.121094 8900.504883 -73.728729,-10019.583984 14773.849609 -22.244431,9857.951172 2654.106201 139.218063,-9413.279297 4601.945312 -37.254807,136.760345 -10471.654297 95.233421,-14516.288086 13491.554688 157.13327,8217.462891 -1613.913086 17.037949,1014.824219 6121.213867 -124.388596,-987.504578 -160.535034 88.408043,1020.269592 6826.920898 60.953358,-6334.908691 -374.049377 150.075851,5781.657227 3002.123535 42.251621,4817.648438 1791.913086 47.691063,-3819.369629 -6967.575684 -97.493805,
169.302994 , 2 , true , -551.769958 -1198.115967 37.450512,2480.845703 -5812.628906 -69.969734,14542.192383 -13997.604492 88.51783,9142.544922 8886.929688 -25.192757,-3223.664062 6818.697266 -0.36969,106.079277 1526.900269 110.578651,-7523.520508 9459.175781 -38.643528,6227.375977 4298.816406 104.81884,-9234.583008 2490.218994 -114.773521,9884.086914 491.392761 41.992741,-2579.688477 -3840.022705 77.245659,8536.536133 7008.84375 -7.437782,3341.198242 6918.132812 37.070889,-11595.943359 -319.550781 4.744313,-10448.432617 8870.746094 -73.728729,-9990.884766 14762.103516 -22.244431,9834.489258 2674.351562 139.218063,-9388.606445 4583.175781 -37.254807,133.932617 -10440.775391 95.233421,-14544.866211 13503.603516 157.13327,8247.100586 -1604.831055 17.037949,997.314819 6095.632812 -124.388596,-986.643677 -129.54686 88.408043,1035.319702 6854.015625 60.953358,-6361.776367 -358.585327 150.075851,5804.604492 3022.966797 42.251621,4838.521973 1814.837646 47.691063,-3823.411133 -6998.318359 -97.493805,
169.802994 , 2 , true , -527.159546 -1179.266968 37.450512,2491.464111 -5841.751953 -69.969734,14542.979492 -13966.604492 88.51783,9170.608398 8873.730469 -25.192757,-3192.664062 6818.500488 -0.36969,95.182968 1555.921143 110.578651,-7499.301758 9439.831055 -38.643528,6219.444336 4328.787109 104.81884,-9247.570312 2462.072266 -114.773521,9907.125 512.132874 41.992741,-2572.84668 -3809.787109 77.245659,8567.263672 7004.83252 -7.437782,3365.931641 6936.82666 37.070889,-11565.064453 -316.987 4.744313,-10439.744141 8840.987305 -73.728729,-9962.185547 14750.357422 -22.244431,9811.027344 2694.596924 139.218063,-9363.933594 4564.40625 -37.254807,131.104889 -10409.896484 95.233421,-14573.444336 13515.652344 157.13327,8276.738281 -1595.749023 17.037949,979.80542 6070.051758 -124.388596,-985.782776 -98.558914 88.408043,1050.369385 6881.110352 60.953358,-6388.644043 -343.121277 150.075851,5827.551758 3043.810059 42.251621,4859.395508 1837.762207 47.691063,-3827.452637 -7029.061035 -97.493805,
170.304001 , 2 , true , -502.549133 -1160.417969 37.450512,2502.08252 -5870.875 -69.969734,14543.766602 -13935.604492 88.51783,9198.671875 8860.53125 -25.192757,-3161.664062 6818.303711 -0.36969,84.286659 1584.942017 110.578651,-7475.083008 9420.486328 -38.643528,6211.512695 4358.757812 104.81884,-9260.557617 2433.925537 -114.773521,9930.163086 532.87207 41.992741,-2566.004883 -3779.551514 77.245659,8597.991211 7000.821289 -7.437782,3390.665039 6955.520508 37.070889,-11534.185547 -314.423218 4.744313,-10431.055664 8811.228516 -73.728729,-9933.486328 14738.611328 -22.244431,9787.56543 2714.842285 139.218063,-9339.260742 4545.636719 -37.254807,128.277161 -10379.017578 95.233421,-14602.022461 13527.701172 157.13327,8306.375977 -1586.666992 17.037949,962.296021 6044.470703 -124.388596,-984.921875 -67.570976 88.408043,1065.419067 6908.205078 60.953358,-6415.511719 -327.657227 150.075851,5850.499023 3064.65332 42.251621,4880.269043 1860.686768 47.691063,-3831.494141 -7059.803711 -97.493805,
170.804001 , 2 , true , -477.938721 -1141.56897 37.450512,2512.700928 -5899.998047 -69.969734,14544.553711 -13904.604492 88.51783,9226.735352 8847.332031 -25.192757,-3130.664062 6818.106934 -0.36969,73.39035 1613.962891 110.578651,-7450.864258 9401.141602 -38.643528,6203.581055 4388.728516 104.81884,-9273.544922 2405.778809 -114.773521,9953.201172 553.611267 41.992741,-2559.163086 -3749.315918 77.245659,8628.71875 6996.810059 -7.437782,3415.398438 6974.214355 37.070889,-11503.306641 -311.859436 4.744313,-10422.367188 8781.469727 -73.728729,-9904.787109 14726.865234 -22.244431,9764.103516 2735.087646 139.218063,-9314.587891 4526.867188 -37.254807,125.449432 -10348.138672 95.233421,-14630.600586 13539.75 157.13327,8336.013672 -1577.584961 17.037949,944.786621 6018.889648 -124.388596,-984.060974 -36.582932 88.408043,1080.46875 6935.299805 60.953358,-6442.379395 -312.193176 150.075851,5873.446289 3085.496582 42.251621,4901.142578 1883.611328 47.691063,-3835.535645 -7090.546387 -97.493805,
171.304001 , 2 , true , -453.328308 -1122.719971 37.450512,2523.319336 -5929.121094 -69.969734,14545.34082 -13873.604492 88.51783,9254.798828 8834.132812 -25.192757,-3099.664062 6817.910156 -0.36969,62.494041 1642.983765 110.578651,-7426.645508 9381.796875 -38.643528,6195.649414 4418.699219 104.81884,-9286.532227 2377.63208 -114.773521,9976.239258 574.350464 41.992741,-2552.321289 -3719.080322 77.245659,8659.446289 6992.798828 -7.437782,3440.131836 6992.908203 37.070889,-11472.427734 -309.295654 4.744313,-10413.678711 8751.710938 -73.728729,-9876.087891 14715.119141 -22.244431,9740.641602 2755.333008 139.218063,-9289.915039 4508.097656 -37.254807,122.621704 -10317.259766 95.233421,-14659.178711 13551.798828 157.13327,8365.651367 -1568.50293 17.037949,927.277222 5993.308594 -124.388596,-983.200073 -5.594884 88.408043,1095.518433 6962.394531 60.953358,-6469.24707 -296.729126 150.075851,5896.393555 3106.339844 42.251621,4922.016113 1906.535889 47.691063,-3839.577148 -7121.289062 -97.493805,
171.804001 , 2 , true , -428.717896 -1103.870972 37.450512,2533.937744 -5958.244141 -69.969734,14546.12793 -13842.604492 88.51783,9282.862305 8820.933594 -25.192757,-3068.664062 6817.713379 -0.36969,51.597733 1672.004639 110.578651,-7402.426758 9362.452148 -38.643528,6187.717773 4448.669922 104.81884,-9299.519531 2349.485352 -114.773521,9999.277344 595.089661 41.992741,-2545.479492 -3688.844727 77.245659,8690.173828 6988.787598 -7.437782,3464.865234 7011.602051 37.070889,-11441.548828 -306.731873 4.744313,-10404.990234 8721.952148 -73.728729,-9847.388672 14703.373047 -22.244431,9717.179688 2775.578369 139.218063,-9265.242188 4489.328125 -37.254807,119.793976 -10286.380859 95.233421,-14687.756836 13563.847656 157.13327,8395.289062 -1559.420898 17.037949,909.767822 5967.727539 -124.388596,-982.339172 25.393156 88.408043,1110.568115 6989.489258 60.953358,-6496.114746 -281.265076 150.075851,5919.34082 3127.183105 42.251621,4942.889648 1929.460449 47.691063,-3843.618652 -7152.031738 -97.493805,
