trial, time, position
1 , 90.088997 , X=-10418.248 Y=-5572.779 Z=20.000
1 , 96.557999 , X=-7918.248 Y=-5572.779 Z=20.000
1 , 103.139999 , X=-6668.248 Y=-7737.843 Z=20.000
1 , 109.625 , X=-9168.248 Y=-7737.843 Z=20.000
1 , 115.367996 , X=-7918.248 Y=-9902.906 Z=20.000
1 , 121.272003 , X=-10418.248 Y=-9902.906 Z=20.000
2 , 176.175003 , X=8350.740 Y=-6599.056 Z=20.000
2 , 182.337006 , X=7100.740 Y=-8764.119 Z=20.000
2 , 189.031998 , X=4600.741 Y=-8764.119 Z=20.000
2 , 195.759003 , X=3350.741 Y=-6599.056 Z=20.000
2 , 201.518005 , X=5850.741 Y=-6599.056 Z=20.000
2 , 209.067001 , X=7100.741 Y=-4433.992 Z=20.000
2 , 215.084 , X=4600.741 Y=-4433.992 Z=20.000
2 , 240.007996 , X=-3989.889 Y=5024.600 Z=20.000
2 , 246.283005 , X=-5239.889 Y=7189.663 Z=20.000
3 , 288.653015 , X=-3989.889 Y=9354.727 Z=20.000
3 , 295.412994 , X=-5239.889 Y=7189.663 Z=20.000
3 , 301.70401 , X=-6489.889 Y=9354.727 Z=20.000
3 , 319.820007 , X=-7739.889 Y=7189.663 Z=20.000
3 , 326.402008 , X=-6489.889 Y=5024.600 Z=20.000
3 , 333.128998 , X=-3989.889 Y=5024.600 Z=20.000
3 , 356.472992 , X=-7918.248 Y=-5572.779 Z=20.000
3 , 363.102997 , X=-9168.248 Y=-7737.843 Z=20.000
3 , 369.362 , X=-11668.248 Y=-7737.843 Z=20.000
3 , 375.394989 , X=-10418.248 Y=-9902.906 Z=20.000
4 , 401.391998 , X=3350.741 Y=-6599.056 Z=20.000
4 , 407.63501 , X=5850.741 Y=-6599.056 Z=20.000
4 , 414.071014 , X=8350.740 Y=-6599.056 Z=20.000
4 , 421.071991 , X=7100.740 Y=-8764.119 Z=20.000
4 , 431.783997 , X=4600.741 Y=-8764.119 Z=20.000
4 , 458.287994 , X=-7918.248 Y=-9902.906 Z=20.000
4 , 467.338013 , X=-10418.248 Y=-9902.906 Z=20.000
4 , 475.033997 , X=-11668.248 Y=-7737.843 Z=20.000
4 , 481.052002 , X=-9168.248 Y=-7737.843 Z=20.000
4 , 487.423004 , X=-7918.248 Y=-5572.779 Z=20.000
4 , 493.649994 , X=-10418.248 Y=-5572.779 Z=20.000
