trial, time, gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
1 , 5.479 , true , 8296.794922 -2813.431396 167.368179,10796.794922 -2813.431396 167.368179,9546.794922 -648.368103 167.368179,7046.79834 -648.368347 167.368179,5796.79834 -2813.431641 167.368179,7046.79834 -4978.495117 167.368179,9546.794922 -4978.495117 167.368179,-1357.319214 6496.956543 -143.784958,1142.680786 6496.956543 -143.784958,-107.319069 8662.023438 -143.784958,-2607.318359 8662.023438 -143.784958,-3857.318359 6496.956543 -143.784958,-2607.318115 4331.893066 -143.784958,-107.319191 4331.893066 -143.784958,-6619.314453 1914.434204 -138.747559,-4119.314453 1914.434204 -138.747559,-5369.314453 4079.498779 -138.747559,-7869.314453 4079.498535 -138.747559,-9119.314453 1914.43396 -138.747559,-7869.314453 -250.629303 -138.747559,-5369.314453 -250.629303 -138.747559,81.91069 -8679.194336 162.636719,2581.910156 -8679.194336 162.636719,1331.910889 -6514.130859 162.636719,-1168.089111 -6514.130859 162.636719,-2418.089844 -8679.194336 162.636719,-1168.088745 -10844.257812 162.636719,1331.910767 -10844.257812 162.636719,
1 , 5.979 , true , 8281.658203 -2810.040771 167.368179,10781.658203 -2810.040771 167.368179,9531.658203 -644.97937 167.368179,7031.676758 -644.979614 167.368179,5781.676758 -2810.041016 167.368179,7031.676758 -4975.104492 167.368179,9531.658203 -4975.104492 167.368179,-1369.825928 6487.798828 -143.784958,1130.174072 6487.798828 -143.784958,-119.8246 8652.880859 -143.784958,-2619.821289 8652.880859 -143.784958,-3869.821289 6487.798828 -143.784958,-2619.821045 4322.735352 -143.784958,-119.824722 4322.735352 -143.784958,-6630.969727 1904.213135 -138.747559,-4130.969727 1904.213135 -138.747559,-5380.969727 4069.281494 -138.747559,-7880.969727 4069.28125 -138.747559,-9130.969727 1904.212891 -138.747559,-7880.969727 -260.849426 -138.747559,-5380.969727 -260.849426 -138.747559,67.116913 -8674.5625 162.636719,2567.114014 -8674.5625 162.636719,1317.11853 -6509.499023 162.636719,-1182.88147 -6509.499023 162.636719,-2432.885986 -8674.5625 162.636719,-1182.881104 -10839.625977 162.636719,1317.118408 -10839.625977 162.636719,
1 , 6.48 , true , 8266.521484 -2806.650146 167.368179,10766.521484 -2806.650146 167.368179,9516.521484 -641.590637 167.368179,7016.555176 -641.590881 167.368179,5766.555176 -2806.650391 167.368179,7016.555176 -4971.713867 167.368179,9516.521484 -4971.713867 167.368179,-1382.332642 6478.641113 -143.784958,1117.667358 6478.641113 -143.784958,-132.330048 8643.738281 -143.784958,-2632.324219 8643.738281 -143.784958,-3882.324219 6478.641113 -143.784958,-2632.323975 4313.577637 -143.784958,-132.33017 4313.577637 -143.784958,-6642.625 1893.992065 -138.747559,-4142.625 1893.992065 -138.747559,-5392.625 4059.064209 -138.747559,-7892.625 4059.063965 -138.747559,-9142.625 1893.991821 -138.747559,-7892.625 -271.06955 -138.747559,-5392.625 -271.06955 -138.747559,52.323231 -8669.930664 162.636719,2552.317871 -8669.930664 162.636719,1302.326172 -6504.867188 162.636719,-1197.673828 -6504.867188 162.636719,-2447.682129 -8669.930664 162.636719,-1197.673462 -10834.994141 162.636719,1302.32605 -10834.994141 162.636719,
1 , 6.979 , true , 8251.384766 -2803.259521 167.368179,10751.384766 -2803.259521 167.368179,9501.384766 -638.201904 167.368179,7001.433594 -638.202148 167.368179,5751.433594 -2803.259766 167.368179,7001.433594 -4968.323242 167.368179,9501.384766 -4968.323242 167.368179,-1394.839355 6469.483398 -143.784958,1105.160645 6469.483398 -143.784958,-144.835342 8634.595703 -143.784958,-2644.827148 8634.595703 -143.784958,-3894.827148 6469.483398 -143.784958,-2644.826904 4304.419922 -143.784958,-144.835464 4304.419922 -143.784958,-6654.280273 1883.770996 -138.747559,-4154.280273 1883.770996 -138.747559,-5404.280273 4048.846924 -138.747559,-7904.280273 4048.84668 -138.747559,-9154.280273 1883.770752 -138.747559,-7904.280273 -281.289673 -138.747559,-5404.280273 -281.289673 -138.747559,37.529572 -8665.298828 162.636719,2537.521729 -8665.298828 162.636719,1287.533813 -6500.235352 162.636719,-1212.466187 -6500.235352 162.636719,-2462.478271 -8665.298828 162.636719,-1212.46582 -10830.362305 162.636719,1287.533691 -10830.362305 162.636719,
1 , 7.48 , true , 8236.248047 -2799.868896 167.368179,10736.248047 -2799.868896 167.368179,9486.248047 -634.813171 167.368179,6986.312012 -634.813416 167.368179,5736.312012 -2799.869141 167.368179,6986.312012 -4964.932617 167.368179,9486.248047 -4964.932617 167.368179,-1407.346069 6460.325684 -143.784958,1092.653931 6460.325684 -143.784958,-157.340637 8625.453125 -143.784958,-2657.330078 8625.453125 -143.784958,-3907.330078 6460.325684 -143.784958,-2657.329834 4295.262207 -143.784958,-157.340759 4295.262207 -143.784958,-6665.935547 1873.549927 -138.747559,-4165.935547 1873.549927 -138.747559,-5415.935547 4038.629639 -138.747559,-7915.935547 4038.629395 -138.747559,-9165.935547 1873.549683 -138.747559,-7915.935547 -291.509796 -138.747559,-5415.935547 -291.509796 -138.747559,22.735874 -8660.666992 162.636719,2522.725586 -8660.666992 162.636719,1272.741455 -6495.603516 162.636719,-1227.258545 -6495.603516 162.636719,-2477.274414 -8660.666992 162.636719,-1227.258179 -10825.730469 162.636719,1272.741333 -10825.730469 162.636719,
1 , 7.98 , true , 8221.111328 -2796.478271 167.368179,10721.111328 -2796.478271 167.368179,9471.111328 -631.424438 167.368179,6971.19043 -631.424683 167.368179,5721.19043 -2796.478516 167.368179,6971.19043 -4961.541992 167.368179,9471.111328 -4961.541992 167.368179,-1419.852783 6451.167969 -143.784958,1080.147217 6451.167969 -143.784958,-169.845932 8616.310547 -143.784958,-2669.833008 8616.310547 -143.784958,-3919.833008 6451.167969 -143.784958,-2669.832764 4286.104492 -143.784958,-169.846054 4286.104492 -143.784958,-6677.59082 1863.328857 -138.747559,-4177.59082 1863.328857 -138.747559,-5427.59082 4028.412354 -138.747559,-7927.59082 4028.412109 -138.747559,-9177.59082 1863.328613 -138.747559,-7927.59082 -301.729919 -138.747559,-5427.59082 -301.729919 -138.747559,7.942172 -8656.035156 162.636719,2507.929443 -8656.035156 162.636719,1257.949097 -6490.97168 162.636719,-1242.050903 -6490.97168 162.636719,-2492.070557 -8656.035156 162.636719,-1242.050537 -10821.098633 162.636719,1257.948975 -10821.098633 162.636719,
1 , 8.48 , true , 8205.974609 -2793.087646 167.368179,10705.974609 -2793.087646 167.368179,9455.974609 -628.035706 167.368179,6956.068848 -628.03595 167.368179,5706.068848 -2793.087891 167.368179,6956.068848 -4958.151367 167.368179,9455.974609 -4958.151367 167.368179,-1432.359497 6442.010254 -143.784958,1067.640503 6442.010254 -143.784958,-182.351227 8607.167969 -143.784958,-2682.335938 8607.167969 -143.784958,-3932.335938 6442.010254 -143.784958,-2682.335693 4276.946777 -143.784958,-182.351349 4276.946777 -143.784958,-6689.246094 1853.107788 -138.747559,-4189.246094 1853.107788 -138.747559,-5439.246094 4018.195068 -138.747559,-7939.246094 4018.194824 -138.747559,-9189.246094 1853.107544 -138.747559,-7939.246094 -311.950043 -138.747559,-5439.246094 -311.950043 -138.747559,-6.851517 -8651.40332 162.636719,2493.133301 -8651.40332 162.636719,1243.156738 -6486.339844 162.636719,-1256.843262 -6486.339844 162.636719,-2506.866699 -8651.40332 162.636719,-1256.842896 -10816.466797 162.636719,1243.156616 -10816.466797 162.636719,
1 , 8.98 , true , 8190.839355 -2789.697021 167.368179,10690.837891 -2789.697021 167.368179,9440.837891 -624.646973 167.368179,6940.947266 -624.647217 167.368179,5690.947266 -2789.697266 167.368179,6940.947266 -4954.760742 167.368179,9440.837891 -4954.760742 167.368179,-1444.866211 6432.852539 -143.784958,1055.133789 6432.852539 -143.784958,-194.856522 8598.025391 -143.784958,-2694.838867 8598.025391 -143.784958,-3944.838867 6432.852539 -143.784958,-2694.838623 4267.789062 -143.784958,-194.856644 4267.789062 -143.784958,-6700.901367 1842.886719 -138.747559,-4200.901367 1842.886719 -138.747559,-5450.901367 4007.977783 -138.747559,-7950.901367 4007.977539 -138.747559,-9200.901367 1842.886475 -138.747559,-7950.901367 -322.170166 -138.747559,-5450.901367 -322.170166 -138.747559,-21.645218 -8646.771484 162.636719,2478.337158 -8646.771484 162.636719,1228.36438 -6481.708008 162.636719,-1271.63562 -6481.708008 162.636719,-2521.662842 -8646.771484 162.636719,-1271.635254 -10811.834961 162.636719,1228.364258 -10811.834961 162.636719,
1 , 9.48 , true , 8175.717773 -2786.306396 167.368179,10675.701172 -2786.306396 167.368179,9425.701172 -621.25824 167.368179,6925.825684 -621.258484 167.368179,5675.825684 -2786.306641 167.368179,6925.825684 -4951.370117 167.368179,9425.701172 -4951.370117 167.368179,-1457.372925 6423.694824 -143.784958,1042.627075 6423.694824 -143.784958,-207.361816 8588.882812 -143.784958,-2707.341797 8588.882812 -143.784958,-3957.341797 6423.694824 -143.784958,-2707.341553 4258.631348 -143.784958,-207.361938 4258.631348 -143.784958,-6712.556641 1832.665649 -138.747559,-4212.556641 1832.665649 -138.747559,-5462.556641 3997.760498 -138.747559,-7962.556641 3997.760254 -138.747559,-9212.556641 1832.665405 -138.747559,-7962.556641 -332.390289 -138.747559,-5462.556641 -332.390289 -138.747559,-36.438919 -8642.139648 162.636719,2463.541016 -8642.139648 162.636719,1213.572021 -6477.076172 162.636719,-1286.427979 -6477.076172 162.636719,-2536.458984 -8642.139648 162.636719,-1286.427612 -10807.203125 162.636719,1213.571899 -10807.203125 162.636719,
1 , 9.98 , true , 8160.596191 -2782.915771 167.368179,10660.564453 -2782.915771 167.368179,9410.564453 -617.869507 167.368179,6910.704102 -617.869751 167.368179,5660.704102 -2782.916016 167.368179,6910.704102 -4947.979492 167.368179,9410.564453 -4947.979492 167.368179,-1469.879639 6414.537109 -143.784958,1030.120361 6414.537109 -143.784958,-219.867111 8579.740234 -143.784958,-2719.844727 8579.740234 -143.784958,-3969.844727 6414.537109 -143.784958,-2719.844482 4249.473633 -143.784958,-219.867233 4249.473633 -143.784958,-6724.211914 1822.44458 -138.747559,-4224.211914 1822.44458 -138.747559,-5474.211914 3987.543213 -138.747559,-7974.211914 3987.542969 -138.747559,-9224.211914 1822.444336 -138.747559,-7974.211914 -342.610413 -138.747559,-5474.211914 -342.610413 -138.747559,-51.232578 -8637.507812 162.636719,2448.744873 -8637.507812 162.636719,1198.779663 -6472.444336 162.636719,-1301.220337 -6472.444336 162.636719,-2551.255127 -8637.507812 162.636719,-1301.219971 -10802.571289 162.636719,1198.779541 -10802.571289 162.636719,
