time,trial,gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
5.496 , 1 , true , 3025.109863 3789.286865 -148.317307,9555.405273 -6833.333496 144.288666,8968.953125 14193.882812 116.479782,-7456.134277 3709.223389 22.825481,-4950.430176 13280.121094 -115.5383,-6696.062012 -2374.547607 -155.775955,10647.642578 -12587.666016 -26.687054,-3666.621338 -603.417969 20.166365,3310.591797 -2537.183838 2.472347,-6396.647949 -14491.913086 -4.754763,-13965.720703 9516.293945 83.126022,-8982.008789 6495.317383 -134.628174,8102.289062 13359.972656 22.639734,-4681.155762 -11085.294922 -63.763515,3221.764893 1477.709839 -70.265816,1888.805664 -11448.107422 -28.956783,13338.493164 -8383.573242 -72.586296,-11759.178711 12698.186523 -139.485992,-8715.646484 -671.723633 -59.578999,12068.813477 692.797546 106.103004,4237.055664 -13659.270508 24.483561,-11197.517578 -14495.12793 90.177094,-6705.530762 -9122.4375 164.635574,-10385.697266 -2823.752686 -97.643311,804.632935 -3076.152588 156.929047,9837.446289 -5928.758301 10.609411,10031.077148 -1371.375 60.927402,14272.714844 -8760.648438 76.508743,
5.996 , 1 , true , 2998.726562 3773.007324 -148.317307,9530.248047 -6815.245117 144.288666,8955.118164 14221.643555 116.479782,-7427.556152 3721.249512 22.825481,-4963.795898 13252.148438 -115.5383,-6724.337402 -2387.27002 -155.775955,10675.342773 -12601.591797 -26.687054,-3637.520996 -592.731445 20.166365,3341.561523 -2535.844238 2.472347,-6365.753906 -14494.486328 -4.754763,-13961.99707 9547.082031 83.126022,-9003.775391 6473.248047 -134.628174,8130.897461 13371.900391 22.639734,-4667.457031 -11113.116211 -63.763515,3232.231934 1448.530029 -70.265816,1915.930664 -11463.123047 -28.956783,13347.756836 -8413.150391 -72.586296,-11782.731445 12678.054688 -139.485992,-8699.93457 -698.455078 -59.578999,12060.21582 722.580933 106.103004,4265.270508 -13646.43457 24.483561,-11197.608398 -14464.12793 90.177094,-6735.425781 -9114.233398 164.635574,-10389.814453 -2854.480225 -97.643311,776.111572 -3064.005371 156.929047,9867.901367 -5923.051758 10.609411,10046.15332 -1344.280273 60.927402,14279.950195 -8730.496094 76.508743,
6.496 , 1 , true , 2972.343262 3756.727783 -148.317307,9505.09082 -6797.156738 144.288666,8941.283203 14249.404297 116.479782,-7398.978027 3733.275635 22.825481,-4977.161621 13224.175781 -115.5383,-6752.612793 -2399.992432 -155.775955,10703.042969 -12615.517578 -26.687054,-3608.420654 -582.044922 20.166365,3372.53125 -2534.504639 2.472347,-6334.859863 -14497.05957 -4.754763,-13958.273438 9577.870117 83.126022,-9025.541992 6451.178711 -134.628174,8159.505859 13383.828125 22.639734,-4653.758301 -11140.9375 -63.763515,3242.698975 1419.35022 -70.265816,1943.055664 -11478.138672 -28.956783,13357.020508 -8442.727539 -72.586296,-11806.28418 12657.922852 -139.485992,-8684.222656 -725.186523 -59.578999,12051.618164 752.364319 106.103004,4293.485352 -13633.598633 24.483561,-11197.699219 -14433.12793 90.177094,-6765.320801 -9106.029297 164.635574,-10393.931641 -2885.207764 -97.643311,747.59021 -3051.858154 156.929047,9898.356445 -5917.345215 10.609411,10061.229492 -1317.185547 60.927402,14287.185547 -8700.34375 76.508743,
6.996 , 1 , true , 2945.959961 3740.448242 -148.317307,9479.933594 -6779.068359 144.288666,8927.448242 14277.165039 116.479782,-7370.399902 3745.301758 22.825481,-4990.527344 13196.203125 -115.5383,-6780.888184 -2412.714844 -155.775955,10730.743164 -12629.443359 -26.687054,-3579.320312 -571.358398 20.166365,3403.500977 -2533.165039 2.472347,-6303.96582 -14499.632812 -4.754763,-13954.549805 9608.658203 83.126022,-9047.308594 6429.109375 -134.628174,8188.114258 13395.755859 22.639734,-4640.05957 -11168.758789 -63.763515,3253.166016 1390.17041 -70.265816,1970.180664 -11493.154297 -28.956783,13366.28418 -8472.304688 -72.586296,-11829.836914 12637.791016 -139.485992,-8668.510742 -751.917969 -59.578999,12043.020508 782.147705 106.103004,4321.700195 -13620.762695 24.483561,-11197.790039 -14402.12793 90.177094,-6795.21582 -9097.825195 164.635574,-10398.048828 -2915.935303 -97.643311,719.068848 -3039.710938 156.929047,9928.811523 -5911.638672 10.609411,10076.305664 -1290.09082 60.927402,14294.420898 -8670.191406 76.508743,
7.496 , 1 , true , 2919.57666 3724.168701 -148.317307,9454.776367 -6760.97998 144.288666,8913.613281 14304.925781 116.479782,-7341.821777 3757.327881 22.825481,-5003.893066 13168.230469 -115.5383,-6809.163574 -2425.437256 -155.775955,10758.443359 -12643.369141 -26.687054,-3550.219971 -560.671875 20.166365,3434.470703 -2531.825439 2.472347,-6273.071777 -14502.206055 -4.754763,-13950.826172 9639.446289 83.126022,-9069.075195 6407.040039 -134.628174,8216.722656 13407.683594 22.639734,-4626.36084 -11196.580078 -63.763515,3263.633057 1360.990601 -70.265816,1997.305664 -11508.169922 -28.956783,13375.547852 -8501.881836 -72.586296,-11853.389648 12617.65918 -139.485992,-8652.798828 -778.649414 -59.578999,12034.422852 811.931091 106.103004,4349.915039 -13607.926758 24.483561,-11197.880859 -14371.12793 90.177094,-6825.11084 -9089.621094 164.635574,-10402.166016 -2946.662842 -97.643311,690.547485 -3027.563721 156.929047,9959.266602 -5905.932129 10.609411,10091.381836 -1262.996094 60.927402,14301.65625 -8640.039062 76.508743,
7.997 , 1 , true , 2893.193359 3707.88916 -148.317307,9429.619141 -6742.891602 144.288666,8899.77832 14332.686523 116.479782,-7313.243652 3769.354004 22.825481,-5017.258789 13140.257812 -115.5383,-6837.438965 -2438.159668 -155.775955,10786.143555 -12657.294922 -26.687054,-3521.119629 -549.985352 20.166365,3465.44043 -2530.48584 2.472347,-6242.177734 -14504.779297 -4.754763,-13947.102539 9670.234375 83.126022,-9090.841797 6384.970703 -134.628174,8245.331055 13419.611328 22.639734,-4612.662109 -11224.401367 -63.763515,3274.100098 1331.810791 -70.265816,2024.430664 -11523.185547 -28.956783,13384.811523 -8531.458984 -72.586296,-11876.942383 12597.527344 -139.485992,-8637.086914 -805.380859 -59.578999,12025.825195 841.714478 106.103004,4378.129883 -13595.09082 24.483561,-11197.97168 -14340.12793 90.177094,-6855.005859 -9081.416992 164.635574,-10406.283203 -2977.390381 -97.643311,662.026123 -3015.416504 156.929047,9989.72168 -5900.225586 10.609411,10106.458008 -1235.901367 60.927402,14308.891602 -8609.886719 76.508743,
8.496 , 1 , true , 2866.810059 3691.609619 -148.317307,9404.461914 -6724.803223 144.288666,8885.943359 14360.447266 116.479782,-7284.665527 3781.380127 22.825481,-5030.624512 13112.285156 -115.5383,-6865.714355 -2450.88208 -155.775955,10813.84375 -12671.220703 -26.687054,-3492.019287 -539.298828 20.166365,3496.410156 -2529.14624 2.472347,-6211.283691 -14507.352539 -4.754763,-13943.378906 9701.022461 83.126022,-9112.608398 6362.901367 -134.628174,8273.939453 13431.539062 22.639734,-4598.963379 -11252.222656 -63.763515,3284.567139 1302.630981 -70.265816,2051.555664 -11538.201172 -28.956783,13394.075195 -8561.036133 -72.586296,-11900.495117 12577.395508 -139.485992,-8621.375 -832.112305 -59.578999,12017.227539 871.497864 106.103004,4406.344727 -13582.254883 24.483561,-11198.0625 -14309.12793 90.177094,-6884.900879 -9073.212891 164.635574,-10410.400391 -3008.11792 -97.643311,633.504761 -3003.269287 156.929047,10020.176758 -5894.519043 10.609411,10121.53418 -1208.806641 60.927402,14316.126953 -8579.734375 76.508743,
8.996 , 1 , true , 2840.426758 3675.330078 -148.317307,9379.304688 -6706.714844 144.288666,8872.108398 14388.208008 116.479782,-7256.087402 3793.40625 22.825481,-5043.990234 13084.3125 -115.5383,-6893.989746 -2463.604492 -155.775955,10841.543945 -12685.146484 -26.687054,-3462.918945 -528.612305 20.166365,3527.379883 -2527.806641 2.472347,-6180.389648 -14509.925781 -4.754763,-13939.655273 9731.810547 83.126022,-9134.375 6340.832031 -134.628174,8302.547852 13443.466797 22.639734,-4585.264648 -11280.043945 -63.763515,3295.03418 1273.451172 -70.265816,2078.680664 -11553.216797 -28.956783,13403.338867 -8590.613281 -72.586296,-11924.047852 12557.263672 -139.485992,-8605.663086 -858.84375 -59.578999,12008.629883 901.28125 106.103004,4434.55957 -13569.418945 24.483561,-11198.15332 -14278.12793 90.177094,-6914.795898 -9065.008789 164.635574,-10414.517578 -3038.845459 -97.643311,604.983398 -2991.12207 156.929047,10050.631836 -5888.8125 10.609411,10136.610352 -1181.711914 60.927402,14323.362305 -8549.582031 76.508743,
9.497 , 1 , true , 2814.043457 3659.050537 -148.317307,9354.147461 -6688.626465 144.288666,8858.273438 14415.96875 116.479782,-7227.509277 3805.432373 22.825481,-5057.355957 13056.339844 -115.5383,-6922.265137 -2476.326904 -155.775955,10869.244141 -12699.072266 -26.687054,-3433.818604 -517.925781 20.166365,3558.349609 -2526.467041 2.472347,-6149.495605 -14512.499023 -4.754763,-13935.931641 9762.598633 83.126022,-9156.141602 6318.762695 -134.628174,8331.15625 13455.394531 22.639734,-4571.565918 -11307.865234 -63.763515,3305.501221 1244.271362 -70.265816,2105.805664 -11568.232422 -28.956783,13412.602539 -8620.19043 -72.586296,-11947.600586 12537.131836 -139.485992,-8589.951172 -885.575195 -59.578999,12000.032227 931.064636 106.103004,4462.774414 -13556.583008 24.483561,-11198.244141 -14247.12793 90.177094,-6944.690918 -9056.804688 164.635574,-10418.634766 -3069.572998 -97.643311,576.462036 -2978.974854 156.929047,10081.086914 -5883.105957 10.609411,10151.686523 -1154.617188 60.927402,14330.597656 -8519.429688 76.508743,
9.997 , 1 , true , 2787.660156 3642.770996 -148.317307,9328.990234 -6670.538086 144.288666,8844.438477 14443.729492 116.479782,-7198.931152 3817.458496 22.825481,-5070.72168 13028.367188 -115.5383,-6950.540527 -2489.049316 -155.775955,10896.944336 -12712.998047 -26.687054,-3404.718262 -507.238831 20.166365,3589.319336 -2525.127441 2.472347,-6118.601562 -14515.072266 -4.754763,-13932.208008 9793.386719 83.126022,-9177.908203 6296.693359 -134.628174,8359.764648 13467.322266 22.639734,-4557.867188 -11335.686523 -63.763515,3315.968262 1215.091553 -70.265816,2132.930664 -11583.248047 -28.956783,13421.866211 -8649.767578 -72.586296,-11971.15332 12517.0 -139.485992,-8574.239258 -912.306641 -59.578999,11991.43457 960.848022 106.103004,4490.989258 -13543.74707 24.483561,-11198.334961 -14216.12793 90.177094,-6974.585938 -9048.600586 164.635574,-10422.751953 -3100.300537 -97.643311,547.940674 -2966.827637 156.929047,10111.541992 -5877.399414 10.609411,10166.762695 -1127.522461 60.927402,14337.833008 -8489.277344 76.508743,
10.497 , 1 , true , 2761.276855 3626.491455 -148.317307,9303.833008 -6652.449707 144.288666,8830.603516 14471.490234 116.479782,-7170.353027 3829.484619 22.825481,-5084.087402 13000.394531 -115.5383,-6978.815918 -2501.771729 -155.775955,10924.644531 -12726.923828 -26.687054,-3375.61792 -496.551361 20.166365,3620.289062 -2523.787842 2.472347,-6087.70752 -14517.645508 -4.754763,-13928.484375 9824.174805 83.126022,-9199.674805 6274.624023 -134.628174,8388.373047 13479.25 22.639734,-4544.168457 -11363.507812 -63.763515,3326.435303 1185.911743 -70.265816,2160.055664 -11598.263672 -28.956783,13431.129883 -8679.344727 -72.586296,-11994.706055 12496.868164 -139.485992,-8558.527344 -939.038086 -59.578999,11982.836914 990.631409 106.103004,4519.204102 -13530.911133 24.483561,-11198.425781 -14185.12793 90.177094,-7004.480957 -9040.396484 164.635574,-10426.869141 -3131.028076 -97.643311,519.419312 -2954.68042 156.929047,10141.99707 -5871.692871 10.609411,10181.838867 -1100.427734 60.927402,14345.068359 -8459.125 76.508743,
