trial, time, gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
1 , 10.497 , true , 5824.146484 -431.639526 69.999077,8324.146484 -431.639526 69.999077,7074.146484 1733.424194 69.999077,4574.146484 1733.42395 69.999077,3324.146484 -431.639771 69.999077,4574.146484 -2596.741943 69.999077,7074.146484 -2596.741943 69.999077,191.883499 6462.271973 11.754079,2691.878662 6462.271973 11.754079,1441.87854 8627.180664 11.754079,-1058.12146 8627.180664 11.754079,-2308.121338 6462.271973 11.754079,-1058.121094 4297.208496 11.754079,1441.878418 4297.208496 11.754079,-6872.494141 2434.828613 113.770157,-4372.494141 2434.828613 113.770157,-5622.494141 4599.892578 113.770157,-8122.494141 4599.89209 113.770157,-9372.338867 2434.828369 113.770157,-8122.494141 269.784363 113.770157,-5622.494141 269.784363 113.770157,-1909.165527 -9242.12207 37.673351,590.834473 -9242.12207 37.673351,-659.165649 -7077.058594 37.673351,-3159.165771 -7077.058594 37.673351,-4409.088379 -9242.12207 37.673351,-3159.165283 -11407.185547 37.673351,-659.165771 -11407.185547 37.673351,
1 , 10.997 , true , 5829.444336 -417.074219 69.999077,8329.444336 -417.074219 69.999077,7079.444336 1747.989502 69.999077,4579.444336 1747.989258 69.999077,3329.444336 -417.074463 69.999077,4579.444336 -2582.18042 69.999077,7079.444336 -2582.18042 69.999077,207.058533 6465.435547 11.754079,2707.053223 6465.435547 11.754079,1457.053101 8630.329102 11.754079,-1042.946899 8630.329102 11.754079,-2292.946777 6465.435547 11.754079,-1042.946533 4300.37207 11.754079,1457.052979 4300.37207 11.754079,-6878.745605 2449.011719 113.770157,-4378.745605 2449.011719 113.770157,-5628.745605 4614.075684 113.770157,-8128.745605 4614.075195 113.770157,-9378.575195 2449.011475 113.770157,-8128.745605 283.96936 113.770157,-5628.745605 283.96936 113.770157,-1896.897217 -9232.646484 37.673351,603.102783 -9232.646484 37.673351,-646.897339 -7067.583008 37.673351,-3146.897461 -7067.583008 37.673351,-4396.8125 -9232.646484 37.673351,-3146.896973 -11397.709961 37.673351,-646.897461 -11397.709961 37.673351,
1 , 11.497 , true , 5834.742188 -402.508911 69.999077,8334.742188 -402.508911 69.999077,7084.742188 1762.55481 69.999077,4584.742188 1762.554565 69.999077,3334.742188 -402.509155 69.999077,4584.742188 -2567.618896 69.999077,7084.742188 -2567.618896 69.999077,222.233566 6468.599121 11.754079,2722.227783 6468.599121 11.754079,1472.227661 8633.477539 11.754079,-1027.772339 8633.477539 11.754079,-2277.772217 6468.599121 11.754079,-1027.771973 4303.535645 11.754079,1472.227539 4303.535645 11.754079,-6884.99707 2463.194824 113.770157,-4384.99707 2463.194824 113.770157,-5634.99707 4628.258789 113.770157,-8134.99707 4628.258301 113.770157,-9384.811523 2463.19458 113.770157,-8134.99707 298.154358 113.770157,-5634.99707 298.154358 113.770157,-1884.628906 -9223.170898 37.673351,615.371094 -9223.170898 37.673351,-634.629028 -7058.107422 37.673351,-3134.62915 -7058.107422 37.673351,-4384.536621 -9223.170898 37.673351,-3134.628662 -11388.234375 37.673351,-634.62915 -11388.234375 37.673351,
1 , 11.997 , true , 5840.040039 -387.943604 69.999077,8340.040039 -387.943604 69.999077,7090.040039 1777.120117 69.999077,4590.040039 1777.119873 69.999077,3340.040039 -387.943848 69.999077,4590.040039 -2553.057373 69.999077,7090.040039 -2553.057373 69.999077,237.4086 6471.762695 11.754079,2737.402344 6471.762695 11.754079,1487.402222 8636.625977 11.754079,-1012.597778 8636.625977 11.754079,-2262.597656 6471.762695 11.754079,-1012.597412 4306.699219 11.754079,1487.4021 4306.699219 11.754079,-6891.248535 2477.37793 113.770157,-4391.248535 2477.37793 113.770157,-5641.248535 4642.441895 113.770157,-8141.248535 4642.441406 113.770157,-9391.047852 2477.377686 113.770157,-8141.248535 312.339355 113.770157,-5641.248535 312.339355 113.770157,-1872.360596 -9213.695312 37.673351,627.639404 -9213.695312 37.673351,-622.360718 -7048.631836 37.673351,-3122.36084 -7048.631836 37.673351,-4372.260742 -9213.695312 37.673351,-3122.360352 -11378.758789 37.673351,-622.36084 -11378.758789 37.673351,
1 , 12.498 , true , 5845.337891 -373.378296 69.999077,8345.337891 -373.378296 69.999077,7095.337891 1791.685425 69.999077,4595.337891 1791.685181 69.999077,3345.337891 -373.37854 69.999077,4595.337891 -2538.49585 69.999077,7095.337891 -2538.49585 69.999077,252.583633 6474.92627 11.754079,2752.576904 6474.92627 11.754079,1502.576782 8639.774414 11.754079,-997.423218 8639.774414 11.754079,-2247.423096 6474.92627 11.754079,-997.422852 4309.862793 11.754079,1502.57666 4309.862793 11.754079,-6897.5 2491.561035 113.770157,-4397.5 2491.561035 113.770157,-5647.5 4656.625 113.770157,-8147.5 4656.624512 113.770157,-9397.28418 2491.560791 113.770157,-8147.5 326.524353 113.770157,-5647.5 326.524353 113.770157,-1860.092285 -9204.219727 37.673351,639.907715 -9204.219727 37.673351,-610.092407 -7039.15625 37.673351,-3110.092529 -7039.15625 37.673351,-4359.984863 -9204.219727 37.673351,-3110.092041 -11369.283203 37.673351,-610.092529 -11369.283203 37.673351,
1 , 12.998 , true , 5850.635742 -358.812988 69.999077,8350.635742 -358.812988 69.999077,7100.635742 1806.250732 69.999077,4600.635742 1806.250488 69.999077,3350.635742 -358.813232 69.999077,4600.635742 -2523.934326 69.999077,7100.635742 -2523.934326 69.999077,267.758301 6478.089844 11.754079,2767.751465 6478.089844 11.754079,1517.751343 8642.922852 11.754079,-982.248657 8642.922852 11.754079,-2232.248535 6478.089844 11.754079,-982.248291 4313.026367 11.754079,1517.751221 4313.026367 11.754079,-6903.751465 2505.744141 113.770157,-4403.751465 2505.744141 113.770157,-5653.751465 4670.808105 113.770157,-8153.751465 4670.807617 113.770157,-9403.520508 2505.743896 113.770157,-8153.751465 340.709351 113.770157,-5653.751465 340.709351 113.770157,-1847.823975 -9194.744141 37.673351,652.176025 -9194.744141 37.673351,-597.824097 -7029.680664 37.673351,-3097.824219 -7029.680664 37.673351,-4347.708984 -9194.744141 37.673351,-3097.82373 -11359.807617 37.673351,-597.824219 -11359.807617 37.673351,
1 , 13.498 , true , 5855.933594 -344.247681 69.999077,8355.933594 -344.247681 69.999077,7105.933594 1820.81604 69.999077,4605.933594 1820.815796 69.999077,3355.933594 -344.247925 69.999077,4605.933594 -2509.372803 69.999077,7105.933594 -2509.372803 69.999077,282.932861 6481.253418 11.754079,2782.926025 6481.253418 11.754079,1532.925903 8646.071289 11.754079,-967.074097 8646.071289 11.754079,-2217.073975 6481.253418 11.754079,-967.07373 4316.189941 11.754079,1532.925781 4316.189941 11.754079,-6910.00293 2519.927246 113.770157,-4410.00293 2519.927246 113.770157,-5660.00293 4684.991211 113.770157,-8160.00293 4684.990723 113.770157,-9409.756836 2519.927002 113.770157,-8160.00293 354.894348 113.770157,-5660.00293 354.894348 113.770157,-1835.555664 -9185.268555 37.673351,664.444336 -9185.268555 37.673351,-585.555786 -7020.205078 37.673351,-3085.555908 -7020.205078 37.673351,-4335.433105 -9185.268555 37.673351,-3085.55542 -11350.332031 37.673351,-585.555908 -11350.332031 37.673351,
1 , 13.998 , true , 5861.231445 -329.682373 69.999077,8361.231445 -329.682373 69.999077,7111.231445 1835.381348 69.999077,4611.231445 1835.381104 69.999077,3361.231445 -329.682617 69.999077,4611.231445 -2494.811279 69.999077,7111.231445 -2494.811279 69.999077,298.107422 6484.416992 11.754079,2798.100586 6484.416992 11.754079,1548.100464 8649.219727 11.754079,-951.899536 8649.219727 11.754079,-2201.899414 6484.416992 11.754079,-951.89917 4319.353516 11.754079,1548.100342 4319.353516 11.754079,-6916.254395 2534.110352 113.770157,-4416.254395 2534.110352 113.770157,-5666.254395 4699.174316 113.770157,-8166.254395 4699.173828 113.770157,-9415.993164 2534.110107 113.770157,-8166.254395 369.079346 113.770157,-5666.254395 369.079346 113.770157,-1823.287354 -9175.792969 37.673351,676.712646 -9175.792969 37.673351,-573.287476 -7010.729492 37.673351,-3073.287598 -7010.729492 37.673351,-4323.157227 -9175.792969 37.673351,-3073.287109 -11340.856445 37.673351,-573.287598 -11340.856445 37.673351,
1 , 14.498 , true , 5866.529297 -315.117065 69.999077,8366.529297 -315.117065 69.999077,7116.529297 1849.946655 69.999077,4616.529297 1849.946411 69.999077,3366.529297 -315.11731 69.999077,4616.529297 -2480.249756 69.999077,7116.529297 -2480.249756 69.999077,313.281982 6487.580566 11.754079,2813.275146 6487.580566 11.754079,1563.275024 8652.368164 11.754079,-936.724976 8652.368164 11.754079,-2186.724854 6487.580566 11.754079,-936.724609 4322.51709 11.754079,1563.274902 4322.51709 11.754079,-6922.505859 2548.293457 113.770157,-4422.505859 2548.293457 113.770157,-5672.505859 4713.357422 113.770157,-8172.505859 4713.356934 113.770157,-9422.229492 2548.293213 113.770157,-8172.505859 383.264343 113.770157,-5672.505859 383.264343 113.770157,-1811.019043 -9166.317383 37.673351,688.980957 -9166.317383 37.673351,-561.019165 -7001.253906 37.673351,-3061.019287 -7001.253906 37.673351,-4310.881348 -9166.317383 37.673351,-3061.018799 -11331.380859 37.673351,-561.019287 -11331.380859 37.673351,
1 , 14.998 , true , 5871.827148 -300.551758 69.999077,8371.827148 -300.551758 69.999077,7121.827148 1864.511963 69.999077,4621.827148 1864.511719 69.999077,3371.827148 -300.552002 69.999077,4621.827148 -2465.688232 69.999077,7121.827148 -2465.688232 69.999077,328.456543 6490.744141 11.754079,2828.449707 6490.744141 11.754079,1578.449585 8655.516602 11.754079,-921.550415 8655.516602 11.754079,-2171.550293 6490.744141 11.754079,-921.550049 4325.680664 11.754079,1578.449463 4325.680664 11.754079,-6928.757324 2562.476562 113.770157,-4428.757324 2562.476562 113.770157,-5678.757324 4727.540527 113.770157,-8178.757324 4727.540039 113.770157,-9428.46582 2562.476318 113.770157,-8178.757324 397.449341 113.770157,-5678.757324 397.449341 113.770157,-1798.750732 -9156.841797 37.673351,701.249268 -9156.841797 37.673351,-548.750854 -6991.77832 37.673351,-3048.750977 -6991.77832 37.673351,-4298.605469 -9156.841797 37.673351,-3048.750488 -11321.905273 37.673351,-548.750977 -11321.905273 37.673351,
